title,views,likes,comments,published,videoId,url
"차량 수리 맡겼더니, 자가용으로 사용? #shorts / KBS",3141516,24019,1976,2026-06-16T00:00:16Z,e4W8lfEiAvA,https://www.youtube.com/watch?v=e4W8lfEiAvA
53년 동안 딱 2번뿐…올해 ‘7월 장마’ / KBS  2026.06.24.,2152674,12579,3517,2026-06-24T10:35:05Z,ET0PX_5CTlI,https://www.youtube.com/watch?v=ET0PX_5CTlI
"데뷔골 넣고 '사과 세리머니'한 스웨덴 선수, 왜? #shorts / KBS",1773069,5849,160,2026-06-16T03:00:22Z,HbSz9MnST6U,https://www.youtube.com/watch?v=HbSz9MnST6U
"멕시코전 종료 후, 이강인의 첫 마디는? #shorts / KBS",1676402,11524,1294,2026-06-19T03:39:59Z,OC9KFl__Jgw,https://www.youtube.com/watch?v=OC9KFl__Jgw
스페인 vs 카보베르데…'월드컵 최대 이변' 나왔다 #shorts / KBS,1442568,12041,988,2026-06-15T22:42:32Z,zxN1nGqJTPc,https://www.youtube.com/watch?v=zxN1nGqJTPc
사우디 vs 우루과이…아시아 돌풍 '이변' #shorts / KBS,1385410,6695,121,2026-06-16T04:48:20Z,bjL0o6uAyhk,https://www.youtube.com/watch?v=bjL0o6uAyhk
관중들 눈물…메시 해트트릭 #shorts / KBS,1225672,12958,932,2026-06-17T07:52:20Z,PRv9pH6x78w,https://www.youtube.com/watch?v=PRv9pH6x78w
호날두 '대굴욕' 포르투갈 vs 콩고민주공화국 #shorts / KBS,1087227,7512,1017,2026-06-17T22:43:30Z,AQa9Jdm7gHs,https://www.youtube.com/watch?v=AQa9Jdm7gHs
장원영 영상 파장…민원 접수 #shorts / KBS,957449,6702,2613,2026-06-16T10:00:11Z,0lme2-U0hFk,https://www.youtube.com/watch?v=0lme2-U0hFk
52년 만의 월드컵…콩고민주공화국 동점골 #shorts / KBS,795252,4145,81,2026-06-18T03:00:33Z,z-mKrDGIXAs,https://www.youtube.com/watch?v=z-mKrDGIXAs
첫 출전국 카보베르데…골키퍼 보지냐의 선방쇼 #shorts / KBS,746795,3796,499,2026-06-16T02:00:20Z,tu3ales9fnA,https://www.youtube.com/watch?v=tu3ales9fnA
호날두 단 두 번의 슈팅…허무했던 포르투갈 #shorts / KBS,698840,2860,388,2026-06-18T03:00:21Z,HcSlwcoKJWg,https://www.youtube.com/watch?v=HcSlwcoKJWg
이란 vs 뉴질랜드 '피말리는 혈투' #shorts / KBS,697721,2279,81,2026-06-16T10:30:15Z,mNIL2qjgjow,https://www.youtube.com/watch?v=mNIL2qjgjow
메시 월드컵 최다 골…아르헨티나 2:0 오스트리아 #shorts / KBS,693601,6156,651,2026-06-22T22:16:32Z,JwOnrMGmkRw,https://www.youtube.com/watch?v=JwOnrMGmkRw
조별리그 J조 2차전 아르헨티나 vs 오스트리아 / KBS 2026 북중미 월드컵 2026.06.23.,691606,4233,1955,2026-06-22T21:26:37Z,6OmKYjd6Rzg,https://www.youtube.com/watch?v=6OmKYjd6Rzg
"손흥민 교체, 분석해 보니 #shorts / KBS",677870,5333,1251,2026-06-20T07:00:33Z,HuwbHpx5ExI,https://www.youtube.com/watch?v=HuwbHpx5ExI
조별리그 K조 1차전 포르투갈 vs 콩고민주공화국 / KBS 2026 북중미 월드컵 2026.06.18.,674182,2781,2424,2026-06-17T21:39:46Z,daFQ8-loheI,https://www.youtube.com/watch?v=daFQ8-loheI
조별리그 I조 1차전 프랑스 vs 세네갈 / KBS 2026 북중미 월드컵 2026.06.17.,634661,2775,631,2026-06-16T21:39:50Z,PE2CvSWM0kg,https://www.youtube.com/watch?v=PE2CvSWM0kg
호날두도 해냈다! 포르투갈 5:0 우즈베키스탄 #shorts / KBS,624763,5986,695,2026-06-23T22:19:29Z,u9oaLbU5eLw,https://www.youtube.com/watch?v=u9oaLbU5eLw
체코 vs 남아공…홍명보호 '판 깔렸다' #shorts / KBS,603522,2730,275,2026-06-18T22:42:32Z,_xf99BR7YHw,https://www.youtube.com/watch?v=_xf99BR7YHw
월드컵 대회 초반 뒤흔든 '자책골' #shorts / KBS,557625,1768,56,2026-06-17T02:00:33Z,uueG1tVymwM,https://www.youtube.com/watch?v=uueG1tVymwM
조별리그 H조 1차전 카보베르데 vs 스페인 / KBS 2026 북중미 월드컵 2026.06.16.,526436,2560,1237,2026-06-15T21:34:29Z,5XSTs1wZBI0,https://www.youtube.com/watch?v=5XSTs1wZBI0
조별리그 A조 2차전 대한민국 vs 멕시코 / KBS 2026 북중미 월드컵 2026.06.19.,525376,1698,2353,2026-06-19T03:22:33Z,6uQPn8Wqpp8,https://www.youtube.com/watch?v=6uQPn8Wqpp8
[잇슈#태그] 돈 안 내고 월드컵 훔쳐보는 북한…‘도둑 중계’ 시작? / KBS 2026.06.18.,512706,1766,1559,2026-06-18T02:47:58Z,5i4YPqMdJME,https://www.youtube.com/watch?v=5i4YPqMdJME
"[지금뉴스] 규모 7.2 강진 직후 7.5 덮쳤다…“베네수, 최대 10만 명 사망” / KBS 2026.06.25.",508113,1862,568,2026-06-25T02:18:27Z,aOzEG9ZM3dw,https://www.youtube.com/watch?v=aOzEG9ZM3dw
"[🔴LIVE] 박문성 해설위원 남아공전에 격분 ""팀을 이따위로…어떻게 책임질 건가""/ KBS 출연 패인 분석·32강 전망/2026년 6월 25일",500303,4465,0,2026-06-25T05:59:30Z,vu4QuvFfDyQ,https://www.youtube.com/watch?v=vu4QuvFfDyQ
