title,views,likes,comments,published,videoId,url
"집 앞 줄담배 고교생 제지하자 ""'장애인 아들' 욕""‥결국 흉기소동까지 #Shorts (MBC뉴스)",1553454,18552,4592,2026-06-16T13:00:37Z,Z0gMHyhXDKE,https://www.youtube.com/watch?v=Z0gMHyhXDKE
"""수원에서 발견된 마약 좀비?"".. 경찰 신고했더니 '충격' #Shorts (MBC뉴스)",1262910,16564,2405,2026-06-23T06:22:59Z,NL-CB-YF3hs,https://www.youtube.com/watch?v=NL-CB-YF3hs
"헬기 9대·소방 로봇까지 투입했는데‥""전쟁터 같았다"" (2026.06.16/뉴스데스크/MBC)",1231555,6587,1190,2026-06-16T11:34:26Z,k5sZRAmZZ5k,https://www.youtube.com/watch?v=k5sZRAmZZ5k
"'성조기 치마 여성' 수사 착수.. 경찰, 신원 특정 나섰다 #Shorts (MBC뉴스)",1148159,31284,7966,2026-06-17T05:10:01Z,9VrWZ_ifYe0,https://www.youtube.com/watch?v=9VrWZ_ifYe0
"피해자 두고 밖으로 '우르르', '대소름 액션' 경찰들 결국‥ #Shorts (MBC뉴스)",1100742,16327,3526,2026-06-21T10:44:57Z,bxlAjH46LrA,https://www.youtube.com/watch?v=bxlAjH46LrA
벽돌 들고 아이 뒤로 '슥'.. '오싹 신고'에 폭풍질주 #Shorts (MBC뉴스),1095722,23619,1047,2026-06-17T09:16:04Z,ZkxHHxOlPc8,https://www.youtube.com/watch?v=ZkxHHxOlPc8
70대 운전자 인도 돌진‥딸과 함께 걷던 엄마 참변 (2026.06.21/뉴스데스크/MBC),1028735,8284,6787,2026-06-21T11:26:09Z,kLstvAr3MAU,https://www.youtube.com/watch?v=kLstvAr3MAU
[오늘 이 뉴스] 무너져! '쾅' 와르르 대탈출.. '사망자 수' 가능성 섬뜩 (2026.06.25/MBC뉴스),979098,5783,553,2026-06-25T02:05:28Z,06tDfxNrq5E,https://www.youtube.com/watch?v=06tDfxNrq5E
"[자막뉴스] ""이런 미친 행정 처음 봤다"".. 콘크리트 대학살 '발칵' (MBC뉴스)",935575,11595,5513,2026-06-14T08:00:12Z,Tfzw1Jo0MwM,https://www.youtube.com/watch?v=Tfzw1Jo0MwM
"[오늘 이 뉴스] ""22일 오후 3시 영업 종료"", '논란 끝낸다' 스벅 초강수 (2026.06.15/MBC뉴스)",827388,11870,11826,2026-06-15T01:54:51Z,E999KcQypSk,https://www.youtube.com/watch?v=E999KcQypSk
"[뉴스 '꾹'] ""진짜 너무하잖아"" 터지더니.. ""돌려서 말 안 해"" 극대노  (2026.06.25/MBC뉴스)",826111,14798,8161,2026-06-25T08:30:36Z,xR1Vzig12Xw,https://www.youtube.com/watch?v=xR1Vzig12Xw
"'레이저' 쏘던 박성재, 오열하더니 결국.. #Shorts (MBC뉴스)",806489,19674,1735,2026-06-23T07:03:33Z,2SQGy4o49_o,https://www.youtube.com/watch?v=2SQGy4o49_o
"""내가 입 열면 엔터판 뒤집어져"".. 거침없던 차가원 '대반전' [뉴스.zip/MBC뉴스]",801408,5654,1878,2026-06-15T23:30:34Z,hVt1o0jil30,https://www.youtube.com/watch?v=hVt1o0jil30
"""이대로면 일본 위태롭다""..닛케이 보도에 '술렁' [뉴스.zip/MBC뉴스]",795758,7615,1301,2026-06-15T01:03:44Z,afZdIq07Lx8,https://www.youtube.com/watch?v=afZdIq07Lx8
[자막뉴스] 벽돌 들고 아이 뒤로 '슥'.. '오싹 신고'에 폭풍질주 (2026.06.17/MBC뉴스),792018,7760,1344,2026-06-17T09:04:43Z,13lXqty0Mhw,https://www.youtube.com/watch?v=13lXqty0Mhw
